Id_Anio_Vehiculo,anio_del_vehiculo
1,1920.0
2,1960.0
3,1965.0
4,1971.0
5,1976.0
6,1977.0
7,1978.0
8,1980.0
9,1982.0
10,1984.0
11,1985.0
12,1986.0
13,1987.0
14,1988.0
15,1989.0
16,1990.0
17,1991.0
18,1992.0
19,1993.0
20,1994.0
21,1995.0
22,1996.0
23,1997.0
24,1998.0
25,1999.0
26,2000.0
27,2001.0
28,2002.0
29,2003.0
30,2004.0
31,2005.0
32,2006.0
33,2007.0
34,2008.0
35,2009.0
36,2010.0
37,2011.0
38,2012.0
39,2013.0
40,2014.0
41,2015.0
42,2016.0
43,2017.0
44,2018.0
45,2019.0
46,2020.0
47,2021.0
48,2022.0
