Id_Fecha,anio,mes,dia
0,2022,7,20
1,2021,4,13
2,2021,4,12
3,2022,7,21
4,2019,5,21
5,2021,2,26
6,2021,3,9
7,2021,3,31
8,2021,4,6
9,2021,4,9
10,2021,4,14
11,2021,4,15
12,2021,4,16
13,2021,4,10
14,2021,4,11
15,2021,4,1
16,2021,4,8
17,2021,4,5
18,2021,3,20
19,2021,4,4
20,2021,3,28
21,2021,4,2
22,2020,4,15
23,2021,4,7
24,2021,7,19
25,2022,6,27
26,2022,7,7
27,2022,7,12
28,2022,7,19
29,2022,7,16
30,2022,7,11
31,2022,7,13
32,2022,7,22
33,2022,6,21
34,2022,7,18
35,2022,6,14
36,2022,7,15
37,2022,7,1
38,2022,7,8
39,2022,7,14
40,2022,6,7
41,2022,6,24
42,2022,7,17
43,2022,7,2
44,2022,6,25
45,2022,6,22
46,2022,7,6
47,2022,6,29
48,2021,4,17
49,2021,3,30
50,2021,3,25
51,2019,4,17
52,2021,3,24
53,2021,2,3
54,2021,3,21
55,2021,3,29
56,2020,4,17
57,2022,6,15
58,2022,7,9
59,2022,7,10
60,2022,6,19
61,2022,7,4
62,2022,6,26
63,2022,6,28
64,2022,7,3
65,2022,3,17
66,2022,5,23
67,2022,6,18
68,2022,6,23
69,2021,4,18
70,2021,3,11
71,2021,3,22
72,2021,4,3
73,2020,9,6
74,2021,4,19
75,2019,7,22
76,2022,5,17
77,2021,3,26
78,2021,7,8
79,2021,7,4
80,2021,7,14
81,2021,7,18
82,2022,7,23
83,2021,4,20
84,2021,11,11
85,2021,3,27
86,2021,3,23
87,2021,3,14
88,2021,7,7
89,2022,5,14
90,2022,6,9
91,2022,7,24
92,2021,7,9
93,2021,7,12
94,2021,7,15
95,2021,7,17
96,2022,6,30
97,2022,7,5
98,2021,4,21
99,2021,4,23
100,2021,4,22
101,2021,2,5
102,2021,3,17
103,2021,3,16
104,2021,2,10
105,2022,4,29
106,2022,6,16
107,2022,6,5
108,2022,6,2
109,2022,5,19
110,2021,4,24
111,2021,2,18
112,2021,3,19
113,2021,3,15
114,2021,7,16
115,2021,3,4
116,2021,4,25
117,2022,7,25
118,2021,2,27
119,2021,3,3
120,2021,4,26
121,2021,6,26
122,2021,6,30
123,2022,5,9
124,2020,4,21
125,2021,7,10
126,2021,4,27
127,2022,4,19
128,2022,7,26
129,2021,2,2
130,2021,3,12
131,2021,7,5
132,2021,4,29
133,2021,4,30
134,2022,7,27
135,2021,4,28
136,2021,7,23
137,2021,3,8
138,2020,5,2
139,2020,12,8
140,2021,3,1
141,2020,12,31
142,2021,5,1
143,2022,7,28
144,2022,6,3
145,2022,7,29
146,2022,5,3
